Law,Scale,Threads,Operation,TimeSeq,TimePar,Speedup,Efficiency
Amdahl,scale_2.0x,1,Erosione,19.4014,19.6839,0.985648,0.985648
Amdahl,scale_2.0x,1,Dilatazione,19.5582,19.534,1.00124,1.00124
Amdahl,scale_2.0x,1,Opening,46.5983,47.3773,0.983558,0.983558
Amdahl,scale_2.0x,1,Closing,39.2006,39.4645,0.993313,0.993313
Amdahl,scale_2.0x,2,Erosione,30.0286,17.9467,1.67321,0.836606
Amdahl,scale_2.0x,2,Dilatazione,31.2365,18.3075,1.70621,0.853107
Amdahl,scale_2.0x,2,Opening,60.4843,36.175,1.67199,0.835996
Amdahl,scale_2.0x,2,Closing,61.0922,36.1915,1.68803,0.844013
Amdahl,scale_2.0x,4,Erosione,31.9193,10.7622,2.96587,0.741468
Amdahl,scale_2.0x,4,Dilatazione,24.6872,7.78274,3.17205,0.793013
Amdahl,scale_2.0x,4,Opening,56.6664,20.1705,2.80937,0.702342
Amdahl,scale_2.0x,4,Closing,47.4183,15.5802,3.0435,0.760875
Amdahl,scale_2.0x,8,Erosione,20.5658,4.52247,4.54746,0.568433
Amdahl,scale_2.0x,8,Dilatazione,20.5661,4.4649,4.60617,0.575771
Amdahl,scale_2.0x,8,Opening,40.7506,8.92878,4.56396,0.570495
Amdahl,scale_2.0x,8,Closing,40.9369,8.86507,4.61777,0.577222
Amdahl,scale_2.0x,16,Erosione,20.5207,4.57358,4.4868,0.280425
Amdahl,scale_2.0x,16,Dilatazione,20.4975,4.47187,4.58366,0.286479
Amdahl,scale_2.0x,16,Opening,41.0322,8.89568,4.6126,0.288288
Amdahl,scale_2.0x,16,Closing,41.0095,8.90224,4.60665,0.287916
Amdahl,scale_2.0x,32,Erosione,20.5796,4.51053,4.56257,0.14258
Amdahl,scale_2.0x,32,Dilatazione,20.679,4.53655,4.55832,0.142447
Amdahl,scale_2.0x,32,Opening,40.8943,8.8447,4.62359,0.144487
Amdahl,scale_2.0x,32,Closing,40.9795,8.8567,4.62695,0.144592
